Name,Organization,Homepage,Logo,Twitter,Crunchbase URL,Market Cap,Ticker,Funding,Member,Relation,License,Headquarters,Latest Tweet Date,Description,Crunchbase Description,Crunchbase Homepage,Crunchbase City,Crunchbase Region,Crunchbase Country,Crunchbase Twitter,Crunchbase Linkedin,Crunchbase Ticker,Crunchbase Kind,Crunchbase Min Employees,Crunchbase Max Employees,Category,Subcategory,OSS,Github Repo,Github Stars,Github Description,Github Latest Commit Date,Github Latest Commit Link,Github Release Date,Github Release Link,Github Start Commit Date,Github Start Commit Link,Github Contributors Count,Github Contributors Link,Accepted,Incubation,Graduated,Dev Stats Url,Artwork Url,Blog Url,Mailing List Url,Slack Url,Youtube Url,Chat Channel
"Pluto","Fairwinds","https://www.fairwinds.com/open-source-software","https://landscape.cncf.io/logos/pluto.svg","https://twitter.com/fairwindsops","https://www.crunchbase.com/organization/fairwinds",,,,"Silver","member","Apache License 2.0","Boston, Massachusetts","2022-12-01 17:28:52","A cli tool to help discover deprecated apiVersions in Kubernetes","Kubernetes security, policy and compliance experts","https://www.fairwinds.com/","Boston","Massachusetts","United States","https://twitter.com/fairwindsops","https://www.linkedin.com/company/fairwinds/",,,11,50,"Provisioning","Security & Compliance",true,"https://github.com/FairwindsOps/pluto",1261,"A cli tool to help discover deprecated apiVersions in Kubernetes","","https://github.com/FairwindsOps/pluto/commit/682eb86e846764cb2a1ff2836bcc0876f052140d","2022-11-14 20:39:40","https://github.com/FairwindsOps/pluto/releases","2020-03-24 20:13:08","https://github.com/FairwindsOps/pluto/commit/4730bc159fadf20a79577a914cdaadb89fd28ecf",33,"https://github.com/FairwindsOps/pluto/graphs/contributors",,,,,,,,,,
"Polaris","Fairwinds","https://fairwinds.com/polaris","https://landscape.cncf.io/logos/polaris.svg","https://twitter.com/fairwindsops","https://www.crunchbase.com/organization/fairwinds",,,,"Silver","member","Apache License 2.0","Boston, Massachusetts","2022-12-01 17:28:52","Validation of best practices in your Kubernetes clusters","Kubernetes security, policy and compliance experts","https://www.fairwinds.com/","Boston","Massachusetts","United States","https://twitter.com/fairwindsops","https://www.linkedin.com/company/fairwinds/",,,11,50,"Provisioning","Security & Compliance",true,"https://github.com/FairwindsOps/polaris",2749,"Validation of best practices in your Kubernetes clusters","","https://github.com/FairwindsOps/polaris/commit/81755e32ec69051b6e96c7b10fb7d8004da36d3b","2022-11-14 22:56:19","https://github.com/FairwindsOps/polaris/releases","2018-11-30 04:21:17","https://github.com/FairwindsOps/polaris/commit/963d0e1dab72f68a57968b535632aaaa938ff15a",53,"https://github.com/FairwindsOps/polaris/graphs/contributors",,,,,,,,,,
"RBAC Lookup","Fairwinds","https://www.fairwinds.com/open-source-software","https://landscape.cncf.io/logos/rbac-lookup.svg","https://twitter.com/fairwindsops","https://www.crunchbase.com/organization/fairwinds",,,,"Silver","member","Apache License 2.0","Boston, Massachusetts","2022-12-01 17:28:52","Easily find roles and cluster roles attached to any user, service account, or group name in your Kubernetes cluster","Kubernetes security, policy and compliance experts","https://www.fairwinds.com/","Boston","Massachusetts","United States","https://twitter.com/fairwindsops","https://www.linkedin.com/company/fairwinds/",,,11,50,"Provisioning","Security & Compliance",true,"https://github.com/FairwindsOps/rbac-lookup",682,"Easily find roles and cluster roles attached to any user, service account, or group name in your Kubernetes cluster","","https://github.com/FairwindsOps/rbac-lookup/commit/b7b687b626d4bff5b88eff8015b8e7e25e408d88","2022-08-17 19:35:14","https://github.com/FairwindsOps/rbac-lookup/releases","2018-07-27 02:12:18","https://github.com/FairwindsOps/rbac-lookup/commit/049ed8dbe4590203179b8d5b10d6805bbe1c925c",17,"https://github.com/FairwindsOps/rbac-lookup/graphs/contributors",,,,,,,,,,
"RBAC Manager","Fairwinds","https://www.fairwinds.com/open-source-software","https://landscape.cncf.io/logos/rbac-manager.svg","https://twitter.com/fairwindsops","https://www.crunchbase.com/organization/fairwinds",,,,"Silver","member","Apache License 2.0","Boston, Massachusetts","2022-12-01 17:28:52","A Kubernetes operator that simplifies the management of Role Bindings and Service Accounts.","Kubernetes security, policy and compliance experts","https://www.fairwinds.com/","Boston","Massachusetts","United States","https://twitter.com/fairwindsops","https://www.linkedin.com/company/fairwinds/",,,11,50,"Provisioning","Security & Compliance",true,"https://github.com/FairwindsOps/rbac-manager",1155,"A Kubernetes operator that simplifies the management of Role Bindings and Service Accounts.","","https://github.com/FairwindsOps/rbac-manager/commit/cb3ab2e58d78f41f8611c165a22ea143cb40013b","2022-11-17 20:13:45","https://github.com/FairwindsOps/rbac-manager/releases","2018-03-13 13:58:00","https://github.com/FairwindsOps/rbac-manager/commit/78d99f1430a33230fc14d6a8bd571b173528857e",27,"https://github.com/FairwindsOps/rbac-manager/graphs/contributors",,,,,,,,,,
"Rudder","Rudder (Normation)","https://www.rudder.io/","https://landscape.cncf.io/logos/rudder.svg","https://twitter.com/rudderio","https://www.crunchbase.com/organization/normation",,,,false,false,"GNU General Public License v3.0","Paris, France","2022-11-30 12:39:04","Rudder is a configuration and security automation platform. Manage your Cloud, hybrid or on-premises infrastructure in a simple, scalable and dynamic way.","Continuous Configuration & Auditing. Automation to measure and/or correct configuration drift on Linux/Windows/AIX.","https://www.rudder.io","Paris","Ile-de-France","France","https://twitter.com/rudderio","https://www.linkedin.com/company/807779",,,11,50,"Provisioning","Security & Compliance",true,"https://github.com/normation/rudder",404,"Rudder is a configuration and security automation platform. Manage your Cloud, hybrid or on-premises infrastructure in a simple, scalable and dynamic way.","","https://github.com/Normation/rudder/commit/8565b3aef76c5a0036c4c3043fadd25c67b88b6e","",,"2011-10-06 20:16:03","https://github.com/Normation/rudder/commit/591cb02a010743242a33e182f95a57f251821023",44,"https://github.com/normation/rudder/graphs/contributors",,,,,"https://github.com/Normation/rudder/tree/master/logo","https://www.rudder.io/blog/",,,"https://www.youtube.com/user/RudderProject",
"sigstore","sigstore","https://www.sigstore.dev/","https://landscape.cncf.io/logos/sigstore.svg","https://twitter.com/projectsigstore","https://www.crunchbase.com/organization/sigstore",,,,false,false,"Apache License 2.0","London, United Kingdom","2022-12-04 13:09:48","Common go library shared across sigstore services and clients","sigstore is a non-profit , public good, software cryptographic signing service.","https://www.sigstore.dev/","London","England","United Kingdom",,"https://www.linkedin.com/company/sigstore/",,,,,"Provisioning","Security & Compliance",true,"https://github.com/sigstore/sigstore",349,"Common go library shared across sigstore services and clients","","https://github.com/sigstore/sigstore/commit/49d84bbce580370631b07315b5c595204b65a7bd","2022-11-24 13:57:08","https://github.com/sigstore/sigstore/releases","2021-02-13 17:55:03","https://github.com/sigstore/sigstore/commit/bc33de41199dac94cf3cfd028f524cf463f6866f",41,"https://github.com/sigstore/sigstore/graphs/contributors",,,,,"https://github.com/ossf/artwork/blob/master/sigstore/stacked/color/Sigstore-logo_stacked-color.svg","https://blog.sigstore.dev/",,,"https://www.youtube.com/channel/UCWPVc8glVGOODxsA_ep0VVw",
"Sonobuoy","VMware","https://sonobuoy.io","https://landscape.cncf.io/logos/sonobuoy.svg","https://twitter.com/projectsonobuoy","https://www.crunchbase.com/organization/vmware",50464153600,"VMW",393500000,"Platinum","member","Apache License 2.0","Palo Alto, California","","Sonobuoy is a diagnostic tool that makes it easier to understand the state of a Kubernetes cluster by running a set of Kubernetes conformance tests and other plugins in an accessible and non-destructive manner.","VMware is a provider of multi-cloud services for all apps, enabling digital innovation with enterprise control.","https://www.vmware.com","Palo Alto","California","United States","http://twitter.com/VMware","https://www.linkedin.com/company/vmware","VMW","market_cap",10001,1000000,"Provisioning","Security & Compliance",true,"https://github.com/vmware-tanzu/sonobuoy",2645,"Sonobuoy is a diagnostic tool that makes it easier to understand the state of a Kubernetes cluster by running a set of Kubernetes conformance tests and other plugins in an accessible and non-destructive manner.","","https://github.com/vmware-tanzu/sonobuoy/commit/6d46d527d809865fdf68f8414e10fcc669bfbc53","2022-11-21 18:11:52","https://github.com/vmware-tanzu/sonobuoy/releases","2017-07-26 18:31:26","https://github.com/vmware-tanzu/sonobuoy/commit/7f69bea97ff746d3303a156fa53be8ef5472864d",86,"https://github.com/vmware-tanzu/sonobuoy/graphs/contributors",,,,,,,,,,
"Starboard","Aqua Security","https://github.com/aquasecurity/starboard","https://landscape.cncf.io/logos/starboard.svg","https://twitter.com/aquasecteam","https://www.crunchbase.com/organization/aquasecurity",,,265000000,"Silver","member","Apache License 2.0","Burlington, Massachusetts","2022-12-07 01:43:24","Starboard operate security tools on the Kubernetes cluster and incorporate their outputs into Kubernetes CRDs (Custom Resource Definitions) and from there, making security reports accessible through the Kubernetes API","Aqua Security is a software company providing cloud-native security technology.","https://www.aquasec.com","Burlington","Massachusetts","United States","http://www.twitter.com/AquaSecTeam","https://www.linkedin.com/company/aquasecteam/",,"funding",251,500,"Provisioning","Security & Compliance",true,"https://github.com/aquasecurity/starboard",1292,"Moved to https://github.com/aquasecurity/trivy-operator","","https://github.com/aquasecurity/starboard/commit/b71b758c9cbfbea2cbdf4c5960962322ac524c1b","2022-10-19 11:05:04","https://github.com/aquasecurity/starboard/releases","2020-03-17 14:31:47","https://github.com/aquasecurity/starboard/commit/8693eb393ca230d9d74936165b6f07a21fe701cf",55,"https://github.com/aquasecurity/starboard/graphs/contributors",,,,,,,,,,
"Terrascan","Tenable","https://www.tenable.com/products/tenable-cs","https://landscape.cncf.io/logos/terrascan.svg","https://twitter.com/TenableSecurity","https://www.crunchbase.com/organization/tenable-network-security",4129263872,"TENB",565438430,"Silver","member","Apache License 2.0","Columbia, Maryland","2022-12-06 17:49:16","Detect compliance and security violations across Infrastructure as Code to mitigate risk before provisioning cloud native infrastructure.","Tenable helps organizations to understand and reduce their cybersecurity risk across the full range of modern computing assets.","http://www.tenable.com","Columbia","Maryland","United States","http://twitter.com/TenableSecurity","https://www.linkedin.com/company/tenableinc/","TENB","market_cap",501,1000,"Provisioning","Security & Compliance",true,"https://github.com/tenable/terrascan",3755,"Detect compliance and security violations across Infrastructure as Code to mitigate risk before provisioning cloud native infrastructure.","","https://github.com/tenable/terrascan/commit/1a460703d7f7aae0303d2d947a0990919778aff7","2022-11-18 05:20:17","https://github.com/tenable/terrascan/releases","2017-09-11 03:06:21","https://github.com/accurics/terrascan/commit/ac117585acc568247d5d111b825d200a81e9c974",79,"https://github.com/tenable/terrascan/graphs/contributors",,,,,,,,,,
"Tetragon","Cloud Native Computing Foundation (CNCF)","https://github.com/cilium/tetragon","https://landscape.cncf.io/logos/tetragon.svg","https://twitter.com/ciliumproject","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"member","Apache License 2.0","San Francisco, California","2022-12-06 14:19:35","eBPF-based Security Observability and Runtime Enforcement","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Security & Compliance",true,"https://github.com/cilium/tetragon",1969,"eBPF-based Security Observability and Runtime Enforcement","","https://github.com/cilium/tetragon/commit/4cbf5524e5b22c82a69938797c6891ca40f5d0b5","2022-10-20 18:03:58","https://github.com/cilium/tetragon/releases","2022-03-24 17:23:16","https://github.com/cilium/tetragon/commit/ec2df9bff86bb61b4d099d60f50634f1ee7f69a5",43,"https://github.com/cilium/tetragon/graphs/contributors","2021-10-13",,,"https://cilium.devstats.cncf.io/",,,,"https://cilium.herokuapp.com/",,
"The Update Framework (TUF)","Cloud Native Computing Foundation (CNCF)","https://theupdateframework.github.io/","https://landscape.cncf.io/logos/the-update-framework-tuf.svg","https://twitter.com/CloudNativeFdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"graduated","Apache License 2.0","San Francisco, California","2022-12-07 04:03:52","Python reference implementation of The Update Framework (TUF)","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Security & Compliance",true,"https://github.com/theupdateframework/python-tuf",1461,"Python reference implementation of The Update Framework (TUF)","","https://github.com/theupdateframework/python-tuf/commit/45271efe3b4e4895fb6e7a4ed4fb4f234b188cfd","2022-08-16 07:57:46","https://github.com/theupdateframework/python-tuf/releases","2013-01-31 18:54:15","https://github.com/theupdateframework/tuf/commit/0fb43a5e36f40ae7fccd2128e5e0bbb401b3111a",90,"https://github.com/theupdateframework/python-tuf/graphs/contributors","2017-10-24",,"2019-12-18","https://tuf.devstats.cncf.io/","https://github.com/cncf/artwork/blob/master/examples/incubating.md#tuf-logos",,"https://groups.google.com/forum/?fromgroups#!forum/theupdateframework",,,
"ThreatMapper","Deepfence Inc","https://deepfence.io/threatmapper/","https://landscape.cncf.io/logos/threat-mapper.svg","https://twitter.com/deepfence","https://www.crunchbase.com/organization/deepfence",,,10500000,"Silver","member","Apache License 2.0","San Francisco, California","2022-12-07 00:37:09","Open source cloud native security observability platform. Linux, K8s, AWS Fargate and more.","Kubernetes, Serverless and Virtual Machines, Deepfence protects it all. Pioneering industry's first Cloud Native DPI technology.","https://deepfence.io/","San Francisco","California","United States","https://twitter.com/deepfence","https://www.linkedin.com/company/10487480/",,"funding",11,50,"Provisioning","Security & Compliance",true,"https://github.com/deepfence/ThreatMapper",2583,"Open source cloud native security observability platform. Linux, K8s, AWS Fargate and more.","","https://github.com/deepfence/ThreatMapper/commit/4e696aa79b303475c03f5fdf3b2a8e869517ee51","2022-12-07 00:09:24","https://github.com/deepfence/ThreatMapper/releases","2021-10-13 11:29:54","https://github.com/deepfence/ThreatMapper/commit/c13979bfac599076b57639df53c4ab90a9bb3558",34,"https://github.com/deepfence/ThreatMapper/graphs/contributors",,,,,,,,,,
"Topaz","Aserto","https://www.topaz.sh","https://landscape.cncf.io/logos/topaz.svg","https://twitter.com/aserto_com","https://www.crunchbase.com/organization/aserto-2995",,,5100000,"Silver","member","Apache License 2.0","Seattle, Washington","2022-12-06 23:16:50","Cloud-native authorization for modern applications and APIs, combining the best of Open Policy Agent and Google Zanzibar","Aserto enables SaaS application developers to roll out enterprise-ready permissions and RBAC through its modern authorization platform.","https://www.aserto.com","Seattle","Washington","United States","http://twitter.com/aserto_com","https://www.linkedin.com/company/aserto-com",,"funding",11,50,"Provisioning","Security & Compliance",true,"https://github.com/aserto-dev/topaz",530,"Cloud-native authorization for modern applications and APIs","","https://github.com/aserto-dev/topaz/commit/0852fedf4270a8b1dd82c8d0170f382a3f3484f8","2022-11-24 01:25:45","https://github.com/aserto-dev/topaz/releases","2022-10-23 15:57:59","https://github.com/aserto-dev/topaz/commit/c323b65b5204280cb08d67c4cdb374f24f183da8",8,"https://github.com/aserto-dev/topaz/graphs/contributors",,,,,,,,"https://www.aserto.com/slack",,
"Trivy","Aqua Security","https://github.com/aquasecurity/trivy","https://landscape.cncf.io/logos/trivy.svg","https://twitter.com/AquaSecTeam","https://www.crunchbase.com/organization/aquasecurity",,,265000000,"Silver","member","Apache License 2.0","Burlington, Massachusetts","2022-12-07 01:43:24","Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more","Aqua Security is a software company providing cloud-native security technology.","https://www.aquasec.com","Burlington","Massachusetts","United States","http://www.twitter.com/AquaSecTeam","https://www.linkedin.com/company/aquasecteam/",,"funding",251,500,"Provisioning","Security & Compliance",true,"https://github.com/aquasecurity/trivy",15131,"Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more","","https://github.com/aquasecurity/trivy/commit/7a6cf5a27c661f61a54669af7935c1389fef8453","2022-11-27 16:59:44","https://github.com/aquasecurity/trivy/releases","2019-04-11 01:01:08","https://github.com/aquasecurity/trivy/commit/fc51f6998296ab1104962ab1fb098b1e8269b860",260,"https://github.com/aquasecurity/trivy/graphs/contributors",,,,,,,,,,
"Athenz","Cloud Native Computing Foundation (CNCF)","https://www.athenz.io","https://landscape.cncf.io/logos/athenz.svg","https://twitter.com/athenzio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"sandbox","Apache License 2.0","San Francisco, California","","Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic infrastructures","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Key Management",true,"https://github.com/AthenZ/athenz",734,"Open source platform for X.509 certificate based service authentication and fine grained access control in dynamic infrastructures. Athenz supports provisioning and configuration (centralized authorization) use cases as well as serving/runtime (decentralized authorization) use cases.","","https://github.com/AthenZ/athenz/commit/bcb86284d0b2ec9a4ceece5ea10d349920686d54","2022-12-05 16:42:41","https://github.com/AthenZ/athenz/releases","2016-12-31 09:10:04","https://github.com/yahoo/athenz/commit/c590f80643105e37682d2fb5900b137aea8d74e3",63,"https://github.com/AthenZ/athenz/graphs/contributors","2021-01-26",,,"https://athenz.devstats.cncf.io/","https://github.com/cncf/artwork/tree/master/projects/athenz",,"https://groups.google.com/d/forum/athenz-users","https://join.slack.com/t/athenz/",,
"Authing","Authing","https://www.authing.cn","https://landscape.cncf.io/logos/authing.svg",,"https://www.crunchbase.com/organization/authing",,,29230000,false,false,"MIT License","Changyang, China","","🔥Authing - IDaaS/IAM solution that can Auth to web and mobile applications.","Authing provides identity authentication and authorization services for enterprises and developers.","https://authing.cn","Changyang","Beijing","China",,"https://www.linkedin.com/company/authing/",,"funding",101,250,"Provisioning","Key Management",true,"https://github.com/Authing/Authing",942,"🔥Authing - IDaaS/IAM solution that can Auth to web and mobile applications.","","https://github.com/Authing/Authing/commit/b4e54dc4f8e11ab697ae63279e4c9e023b8eeca5","2021-12-31 08:02:54","https://github.com/Authing/Authing/releases","2018-01-14 06:35:30","https://github.com/Authing/authing/commit/6e434fc9c10acb1c24037c5131cf32d9ae1e7fcd",6,"https://github.com/Authing/Authing/graphs/contributors",,,,,,,,,,
"CyberArk Conjur","CyberArk Software","https://www.conjur.org","https://landscape.cncf.io/logos/cyber-ark-conjur.svg","https://twitter.com/ConjurInc","https://www.crunchbase.com/organization/cyber-ark-software",5593605632,"CYBR",570500000,"Silver","member","Other","Newton, Massachusetts","","CyberArk Conjur automatically secures secrets used by privileged users and machine identities","CyberArk is a security company focused on striking down targeted cyber threats before they affect business operations.","http://www.cyberark.com","Newton","Massachusetts","United States","http://twitter.com/Cyberark","https://www.linkedin.com/company/cyber-ark-software","CYBR","market_cap",1001,5000,"Provisioning","Key Management",true,"https://github.com/cyberark/conjur",588,"CyberArk Conjur automatically secures secrets used by privileged users and machine identities","","https://github.com/cyberark/conjur/commit/a0ba1e862bc0cc99e7bdf3e4efc92d9575fefe39","2022-10-26 15:36:34","https://github.com/cyberark/conjur/releases","2016-06-28 21:17:41","https://github.com/cyberark/conjur/commit/0456e1e35788b10802143ae2aa8d7f664073e4bd",85,"https://github.com/cyberark/conjur/graphs/contributors",,,,,,,,,,
"Keycloak","Red Hat","https://www.keycloak.org","https://landscape.cncf.io/logos/keycloak.svg","https://twitter.com/keycloak","https://www.crunchbase.com/organization/red-hat",132207198208,"IBM",0,"Platinum","member","Apache License 2.0","Raleigh, North Carolina","2022-09-16 14:03:29","Open Source Identity and Access Management For Modern Applications and Services","Red Hat is a multinational software company engaged in providing open-source software products to the enterprise community.","http://www.redhat.com","Raleigh","North Carolina","United States","http://twitter.com/redhat","https://www.linkedin.com/company/red-hat","IBM","market_cap",10001,1000000,"Provisioning","Key Management",true,"https://github.com/keycloak/keycloak",14323,"Open Source Identity and Access Management For Modern Applications and Services","","https://github.com/keycloak/keycloak/commit/264c5a6cdb2fb86e20536ea4302d20160ca01919","2022-09-27 02:22:00","https://github.com/keycloak/keycloak/releases","2013-07-02 13:38:51","https://github.com/keycloak/keycloak/commit/503cede15eb8a5877a2e91a639286dbfcfb86fbd",845,"https://github.com/keycloak/keycloak/graphs/contributors",,,,,,,,,,
"OAuth2 Proxy","OAuth2 Proxy","https://oauth2-proxy.github.io/oauth2-proxy/","https://landscape.cncf.io/logos/o-auth2-proxy.svg",,"https://www.crunchbase.com/organization/oauth2-proxy",,,,false,false,"MIT License","London, United Kingdom","","A reverse proxy that provides authentication with Google, Azure, OpenID Connect and many more identity providers.","A reverse proxy that provides authentication with Google, Github or other providers.","https://oauth2-proxy.github.io/oauth2-proxy/","London","England","United Kingdom",,,,,1,10,"Provisioning","Key Management",true,"https://github.com/oauth2-proxy/oauth2-proxy",6164,"A reverse proxy that provides authentication with Google, Azure, OpenID Connect and many more identity providers.","","https://github.com/oauth2-proxy/oauth2-proxy/commit/fd2807c091686a2a23f41123e3470a1076e877a0","2022-10-29 16:45:30","https://github.com/oauth2-proxy/oauth2-proxy/releases","2012-12-11 01:34:58","https://github.com/oauth2-proxy/oauth2-proxy/commit/c6f07d54d71b49cf3ba77c55cfdc9e8b924c71e9",328,"https://github.com/oauth2-proxy/oauth2-proxy/graphs/contributors",,,,,,,,,,
"ORY Hydra","Ory Corp","https://www.ory.sh/","https://landscape.cncf.io/logos/ory-hydra.svg","https://twitter.com/orycorp","https://www.crunchbase.com/organization/ory",,,22500000,false,false,"Apache License 2.0","Doylestown, Pennsylvania","2022-12-05 14:22:11","OpenID Certified™ OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API security for your infrastructure. SDKs for any language. Works with Hardware Security Modules. Compatible with MITREid.","Ory Corp makes and operates Ory Cloud for Zero Trust Security based on Ory's open-source identity, authx, and permission","https://www.ory.sh","Doylestown","Pennsylvania","United States","https://twitter.com/orycorp","https://www.linkedin.com/company/ory-corp",,"funding",11,50,"Provisioning","Key Management",true,"https://github.com/ory/hydra",13505,"OpenID Certified™ OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API security for your infrastructure. SDKs for any language. Works with Hardware Security Modules. Compatible with MITREid.","","https://github.com/ory/hydra/commit/f2925ee4a377120f597f1a9884d85850dd7dcb90","2022-11-10 17:10:38","https://github.com/ory/hydra/releases","2015-05-22 12:42:08","https://github.com/ory/hydra/commit/5df442b04c18c5f9a419f40c8750d2531952d38a",276,"https://github.com/ory/hydra/graphs/contributors",,,,,,,,,,
"Pinniped","VMware","https://pinniped.dev","https://landscape.cncf.io/logos/pinniped.svg","https://twitter.com/projectpinniped","https://www.crunchbase.com/organization/vmware",50464153600,"VMW",393500000,"Platinum","member","Apache License 2.0","Palo Alto, California","2022-09-27 19:14:59","Pinniped is the easy, secure way to log in to your Kubernetes clusters.","VMware is a provider of multi-cloud services for all apps, enabling digital innovation with enterprise control.","https://www.vmware.com","Palo Alto","California","United States","http://twitter.com/VMware","https://www.linkedin.com/company/vmware","VMW","market_cap",10001,1000000,"Provisioning","Key Management",true,"https://github.com/vmware-tanzu/pinniped",376,"Pinniped is the easy, secure way to log in to your Kubernetes clusters.","","https://github.com/vmware-tanzu/pinniped/commit/d35306aa85f0dc80388851e3af054d3518a5146f","2022-09-27 17:15:13","https://github.com/vmware-tanzu/pinniped/releases","2020-07-02 22:23:21","https://github.com/vmware-tanzu/pinniped/commit/a3d64bef62f4c119c6df7a9609d7891fd13887a9",30,"https://github.com/vmware-tanzu/pinniped/graphs/contributors",,,,,,,,,,
"Pomerium","Pomerium","https://www.pomerium.com","https://landscape.cncf.io/logos/pomerium.svg","https://twitter.com/pomerium_io","https://www.crunchbase.com/organization/pomerium",,,3750000,false,false,"Apache License 2.0","Solana Beach, California","2022-12-01 16:44:03","Pomerium is an identity and context-aware access proxy.","Pomerium authenticate, authorize, monitor, and secure user access to any application without a VPN.","https://www.pomerium.io/","Solana Beach","California","United States","https://twitter.com/pomerium_io",,,"funding",1,10,"Provisioning","Key Management",true,"https://github.com/pomerium/pomerium",3320,"Pomerium is an identity and context-aware access proxy.","","https://github.com/pomerium/pomerium/commit/ce1b8701da4c15fc527b494c872711c87e4b152a","2022-11-14 17:04:07","https://github.com/pomerium/pomerium/releases","2019-01-02 20:13:36","https://github.com/pomerium/pomerium/commit/d56c889224d7c88bb9ba74cf980210b0a4a782cf",87,"https://github.com/pomerium/pomerium/graphs/contributors",,,,,,,,,,
"SPIFFE","Cloud Native Computing Foundation (CNCF)","https://spiffe.io/","https://landscape.cncf.io/logos/spiffe.svg","https://twitter.com/spiffeio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"graduated","Apache License 2.0","San Francisco, California","2022-11-14 00:52:12","The SPIFFE Project","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Key Management",true,"https://github.com/spiffe/spiffe",1139,"The SPIFFE Project","","https://github.com/spiffe/spiffe/commit/c65f6fe332ebb242def9148b8dfd6b5372270b2c","",,"2017-01-31 06:47:40","https://github.com/spiffe/spiffe/commit/f6c7cd6e6a21cf8c763f462ddd9fdb501b9b7c70",52,"https://github.com/spiffe/spiffe/graphs/contributors","2018-03-29",,"2022-08-23","https://spiffe.devstats.cncf.io/","https://github.com/cncf/artwork/blob/master/examples/sandbox.md#spiffe-logos","https://blog.spiffe.io/","https://groups.google.com/a/spiffe.io/forum/#!forum/announce","https://slack.spiffe.io/",,
"SPIRE","Cloud Native Computing Foundation (CNCF)","https://spiffe.io/spire/","https://landscape.cncf.io/logos/spire.svg","https://twitter.com/spiffeio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,3000000,false,"graduated","Apache License 2.0","San Francisco, California","2022-11-14 00:52:12","The SPIFFE Runtime Environment","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io","San Francisco","California","United States","https://twitter.com/CloudNativeFdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,"funding",11,50,"Provisioning","Key Management",true,"https://github.com/spiffe/spire",1313,"The SPIFFE Runtime Environment","","https://github.com/spiffe/spire/commit/04b44cd6558be9ae514bf53f8917e6bacbc42201","2022-12-07 03:11:53","https://github.com/spiffe/spire/releases","2017-03-23 07:01:54","https://github.com/spiffe/spire/commit/3c42eb7b3695df5136dd44d467854fd3f119f509",145,"https://github.com/spiffe/spire/graphs/contributors","2018-03-29",,"2022-08-22","https://spire.devstats.cncf.io/","https://github.com/cncf/artwork/blob/master/examples/sandbox.md#spire-logos",,,"https://slack.spiffe.io/",,
"Square Keywhiz","Square","https://square.github.io/keywhiz/","https://landscape.cncf.io/logos/square-keywhiz.svg","https://twitter.com/SquareEng","https://www.crunchbase.com/organization/square",39588212736,"SQ",601166807,false,false,"Apache License 2.0","San Francisco, California","2022-01-25 18:47:20","A system for distributing and managing secrets","Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.","http://squareup.com","San Francisco","California","United States","http://twitter.com/Square","https://www.linkedin.com/company/joinsquare","SQ","market_cap",5001,10000,"Provisioning","Key Management",true,"https://github.com/square/keywhiz",2543,"A system for distributing and managing secrets","","https://github.com/square/keywhiz/commit/59ecbe56cf53b11e7552483caf0d290d100df0da","2019-09-06 23:40:58","https://github.com/square/keywhiz/releases","2015-03-27 00:13:45","https://github.com/square/keywhiz/commit/4e4be5800605b2f24c6722da8e689a665172bfcd",42,"https://github.com/square/keywhiz/graphs/contributors",,,,,,,,,,
